type,montant,compteSource,sourceAvant,sourceApres,compteDist,distAvant,distApres,isFraud
TRANSFER,14360.12,C402057107,14360.12,0.0,C1957774921,0.0,0.0,1
CASH_OUT,254719.63,C1634365603,254719.63,0.0,C192491518,0.0,254719.63,0
TRANSFER,51373.02,C691538329,0.0,0.0,C2146233624,360144.17,411517.18,0
CASH_OUT,181681.83,C1274111075,0.0,0.0,C552741883,4890275.59,5071957.42,0
CASH_IN,390481.52,C283314519,22223.0,412704.52,C1604977950,1447057.14,1056575.62,0
TRANSFER,6695070.79,C1895081516,6695070.79,0.0,C849791185,0.0,0.0,1
CASH_OUT,121543.83,C122605764,121543.83,0.0,C1571077374,64845.34,186389.17,1
PAYMENT,4447.08,C1468879416,10890.0,6442.92,M480165552,0.0,0.0,0
TRANSFER,183306.21,C1833004950,183306.21,0.0,C1079318732,0.0,0.0,1
CASH_OUT,187436.21,C1129531985,0.0,0.0,C1088650686,3602937.84,3790374.05,0
CASH_OUT,58499.0,C2067844994,0.0,0.0,C1376405710,1304957.82,1363456.82,0
TRANSFER,6392.08,C929088608,6392.08,0.0,C1035703133,0.0,0.0,1
CASH_IN,67246.82,C262453623,31140.0,98386.82,C264099236,168508.43,101261.61,0
CASH_OUT,67700.8,C1939624772,21464.0,0.0,C1848891247,0.0,67700.8,0
CASH_OUT,65761.13,C845507735,65761.13,0.0,C1288737458,197135.39,262896.52,0
PAYMENT,1727.37,C595077695,153384.0,151656.63,M176902797,0.0,0.0,0
CASH_OUT,297465.74,C2134600514,297465.74,0.0,C2074097393,4700.53,302166.26,0
TRANSFER,1072345.79,C114044821,1072345.79,0.0,C1178875500,0.0,0.0,1
CASH_OUT,326052.83,C1348697498,326052.83,0.0,C499332323,0.0,326052.83,1
PAYMENT,885.6,C2002533128,0.0,0.0,M1017770773,0.0,0.0,0
PAYMENT,1511.22,C1776465611,0.0,0.0,M291361771,0.0,0.0,0
PAYMENT,40212.29,C1572028725,19205.0,0.0,M397150918,0.0,0.0,0
PAYMENT,10346.56,C1267690409,0.0,0.0,M1099282599,0.0,0.0,0
TRANSFER,1641792.79,C13225797,1641792.79,0.0,C600757779,0.0,0.0,1
PAYMENT,17215.3,C473104195,407.0,0.0,M403693984,0.0,0.0,0
CASH_OUT,218074.57,C90566607,218074.57,0.0,C584575879,162623.65,380698.21,0
CASH_IN,118066.42,C1881530925,5173292.95,5291359.37,C2004550610,3235781.9,3117715.48,0
CASH_OUT,1265656.44,C198942679,1265656.44,0.0,C154881805,653351.54,1919007.98,1
TRANSFER,162192.78,C2111179588,162192.78,0.0,C581054448,0.0,0.0,1
CASH_OUT,9395.87,C814550030,0.0,0.0,C261995300,221479.28,230875.15,0
TRANSFER,882011.04,C1756642124,882011.04,0.0,C1851353200,0.0,0.0,1
CASH_OUT,1263340.66,C262166214,1263340.66,0.0,C1840377384,4780628.29,6043968.95,1
PAYMENT,31859.91,C73924678,0.0,0.0,M1805176728,0.0,0.0,0
CASH_OUT,151520.46,C1204805171,0.0,0.0,C839919065,25062670.45,25214190.91,0
TRANSFER,4892193.09,C908544136,4892193.09,4892193.09,C891140444,0.0,0.0,1
PAYMENT,15461.33,C1003333663,377883.04,362421.71,M1807728076,0.0,0.0,0
PAYMENT,27536.92,C1323564558,573321.79,545784.87,M1833108403,0.0,0.0,0
PAYMENT,8854.86,C1608609356,20728.0,11873.14,M1532312606,0.0,0.0,0
TRANSFER,669627.43,C1357770570,669627.43,0.0,C1491918880,0.0,0.0,1
CASH_OUT,428743.09,C1780489203,58844.0,0.0,C2005545286,1147440.51,1576183.6,0
TRANSFER,46291.81,C1608445918,46291.81,0.0,C797035468,0.0,0.0,1
PAYMENT,3415.75,C488177435,55645.42,52229.67,M925843358,0.0,0.0,0
CASH_OUT,127916.67,C442707835,127916.67,0.0,C473607124,1520726.85,1648643.52,0
TRANSFER,533269.77,C761440890,533269.77,0.0,C565561200,0.0,0.0,1
TRANSFER,597411.76,C2113853115,597411.76,0.0,C338573575,0.0,0.0,1
TRANSFER,210952.24,C710869590,210952.24,0.0,C493995477,0.0,0.0,1
TRANSFER,147957.23,C1762704986,147957.23,0.0,C1857166842,0.0,0.0,1
TRANSFER,51725.86,C141049972,51725.86,0.0,C823707248,0.0,0.0,1
PAYMENT,836.59,C1166609685,544616.13,543779.54,M555794365,0.0,0.0,0
CASH_OUT,201511.93,C1924280884,201511.93,0.0,C1283027953,0.0,201511.93,0
TRANSFER,626195.24,C1473713823,626195.24,0.0,C147889892,0.0,0.0,1
DEBIT,3479.46,C1290507792,34986.0,31506.54,C1058817615,4494001.07,4497480.53,0
TRANSFER,492515.28,C1225746382,59937.0,0.0,C495083433,53861.3,546376.58,0
CASH_OUT,183176.75,C1156127670,0.0,0.0,C1234698406,499766.08,682942.84,0
CASH_IN,184596.48,C747157473,723152.0,907748.48,C1250231359,0.0,0.0,0
TRANSFER,218074.57,C1211163896,218074.57,0.0,C1493086567,0.0,0.0,1
PAYMENT,35830.6,C1422204085,0.0,0.0,M2086648005,0.0,0.0,0
CASH_OUT,246961.31,C1044154317,213689.53,0.0,C1168144557,461660.5,708621.81,0
PAYMENT,10895.97,C647833858,5032.0,0.0,M666829905,0.0,0.0,0
CASH_OUT,351267.23,C1901731168,0.0,0.0,C68854831,4979833.37,5331100.6,0
CASH_IN,95304.93,C1323772951,4798217.56,4893522.49,C462407578,1169339.82,1074034.88,0
CASH_OUT,41944.3,C1741712149,0.0,0.0,C1630852720,908773.11,950717.41,0
CASH_OUT,10000000.0,C352927410,10000000.0,0.0,C593822721,0.0,10000000.0,1
CASH_OUT,113336.41,C403276933,113336.41,0.0,C506139179,0.0,113336.41,1
PAYMENT,5912.76,C762500267,15619.0,9706.24,M1390622492,0.0,0.0,0
CASH_OUT,414095.91,C593887896,414095.91,0.0,C434667197,0.0,414095.91,1
CASH_OUT,86475.95,C1917249337,13625.0,0.0,C1910280401,2134189.08,2220665.03,0
PAYMENT,270.68,C238880466,144.0,0.0,M1823351187,0.0,0.0,0
PAYMENT,11783.87,C1151224413,3690.0,0.0,M543506631,0.0,0.0,0
PAYMENT,338.24,C1764647009,0.0,0.0,M195490684,0.0,0.0,0
CASH_OUT,2321633.57,C31072228,2321633.57,0.0,C2043561429,0.0,2321633.57,1
CASH_IN,5851.39,C386160410,3441585.61,3447437.0,C917715031,521256.4,515405.01,0
PAYMENT,22729.74,C1137332587,0.0,0.0,M2030967472,0.0,0.0,0
CASH_OUT,534955.1,C2097458149,34737.0,0.0,C2073266063,0.0,534955.1,0
CASH_OUT,133632.24,C782460784,133632.24,0.0,C260277833,71836828.02,71970460.27,0
CASH_OUT,83770.74,C2113192456,26330.0,0.0,C818913121,0.0,83770.74,0
TRANSFER,244153.94,C1613024092,244153.94,0.0,C1699421282,0.0,0.0,1
TRANSFER,43814.15,C1204866352,43814.15,0.0,C16371707,0.0,0.0,1
CASH_OUT,178098.29,C1571108263,20040.0,0.0,C1313906536,130143.89,308242.17,0
CASH_OUT,485500.56,C1429737129,0.0,0.0,C463639820,515675.84,1001176.4,0
CASH_OUT,643052.88,C1834671253,643052.88,0.0,C598267252,0.0,643052.88,1
CASH_OUT,181781.81,C2066440729,4532.0,0.0,C1054639722,121939.76,303721.57,0
PAYMENT,24308.48,C435417203,0.0,0.0,M2048203508,0.0,0.0,0
CASH_OUT,3707342.38,C633635438,3707342.38,0.0,C1640217168,558618.2,4265960.58,1
CASH_OUT,47052.21,C957510988,0.0,0.0,C1968949059,96172.13,143224.34,0
PAYMENT,15954.98,C1645049289,24857.0,8902.02,M1291127955,0.0,0.0,0
CASH_OUT,119041.12,C1186588727,119041.12,0.0,C1803677930,1755159.6,1874200.73,0
CASH_OUT,200482.57,C1906886636,40177.0,0.0,C2086455329,0.0,200482.57,0
TRANSFER,30548.46,C1322381590,30548.46,0.0,C876969670,0.0,0.0,1
TRANSFER,634385.97,C1791366162,634385.97,0.0,C1152394024,0.0,0.0,1
PAYMENT,12492.37,C683625788,11498.0,0.0,M209533570,0.0,0.0,0
CASH_IN,65674.81,C1846645646,658712.92,724387.73,C62869591,127689.33,62014.52,0
CASH_OUT,1289142.33,C504063751,1289142.33,0.0,C1132120597,21580.17,1310722.5,1
CASH_OUT,420270.22,C1424396112,420270.22,0.0,C1810367119,10608106.66,11028376.88,0
CASH_OUT,6038051.03,C435031066,6038051.03,0.0,C110885488,741636.76,6779687.79,1
TRANSFER,397069.12,C767878011,397069.12,0.0,C205844537,0.0,0.0,1
CASH_OUT,245388.91,C9783447,127796.0,0.0,C1326451468,0.0,245388.91,0
CASH_OUT,2284476.12,C175222097,2284476.12,0.0,C335340729,6835.89,2291312.01,1
CASH_OUT,293394.49,C1612862940,11378.0,0.0,C2059726781,1569032.42,1862426.92,0
CASH_IN,83063.19,C1740517689,154659.0,237722.19,C1119948513,27156.71,0.0,0
TRANSFER,834203.65,C558321458,834203.65,0.0,C1072132804,0.0,0.0,1
CASH_OUT,295436.95,C1591749171,0.0,0.0,C1935541289,2937938.47,3233375.42,0
PAYMENT,5786.11,C544183465,20473.0,14686.89,M1025463557,0.0,0.0,0
PAYMENT,17112.46,C62091786,135.0,0.0,M767447101,0.0,0.0,0
PAYMENT,4416.5,C526018023,0.0,0.0,M1505140595,0.0,0.0,0
CASH_OUT,43071.62,C1262709265,43071.62,0.0,C1378862826,21624.42,64696.03,1
CASH_OUT,223730.4,C2056953445,223730.4,0.0,C685901539,3375498.7,3599229.1,0
CASH_OUT,628033.58,C583549280,628033.58,0.0,C1565397957,1608906.58,2236940.16,1
PAYMENT,8913.22,C1617999344,0.0,0.0,M113349454,0.0,0.0,0
CASH_OUT,20281.44,C1585523750,20281.44,0.0,C1744383627,85764.25,106045.69,0
CASH_OUT,329759.98,C1244280013,90338.0,0.0,C1064423200,0.0,329759.98,0
TRANSFER,880868.01,C900923364,4110.47,0.0,C243654825,2390150.44,3271018.45,0
PAYMENT,8744.88,C1272190491,250693.11,241948.23,M563986780,0.0,0.0,0
PAYMENT,2906.07,C388197745,0.0,0.0,M939644708,0.0,0.0,0
CASH_OUT,207021.45,C694763247,207021.45,0.0,C1770009220,0.0,207021.45,0
CASH_OUT,1068398.61,C755809826,1068398.61,0.0,C411670460,0.0,1068398.61,1
CASH_OUT,6749.18,C853796614,6749.18,0.0,C1244384695,136928.04,143677.22,1
TRANSFER,442460.31,C1158825212,442460.31,0.0,C643125420,0.0,0.0,1
PAYMENT,5577.01,C167074402,63929.0,58351.99,M269735367,0.0,0.0,0
CASH_OUT,34473.07,C1253152318,34473.07,0.0,C1286341721,17653.89,52126.95,0
TRANSFER,70239.81,C731157772,70239.81,0.0,C182956313,0.0,0.0,1
PAYMENT,16051.41,C1094045646,183618.23,167566.82,M1183293727,0.0,0.0,0
PAYMENT,21307.13,C1204282085,52843.0,31535.87,M2097375485,0.0,0.0,0
CASH_OUT,1464008.18,C1187974748,1464008.18,0.0,C1271941656,0.0,1464008.18,1
CASH_OUT,417078.16,C1367516290,179429.0,0.0,C800381150,174997.33,592075.49,0
TRANSFER,1031608.37,C1371377403,1031608.37,0.0,C1639950711,0.0,0.0,1
CASH_OUT,43594.55,C24435280,185.0,0.0,C961639165,60633.56,104228.12,0
CASH_OUT,311020.92,C247152756,110.0,0.0,C1934524942,0.0,311020.92,0
CASH_OUT,75568.97,C2043877233,155646.0,80077.03,C1331632584,0.0,75568.97,0
CASH_OUT,1290193.08,C876181265,1290193.08,0.0,C24324787,0.0,1290193.08,1
CASH_OUT,1298920.78,C34029186,1298920.78,0.0,C1653962033,3351871.21,4650791.99,1
CASH_OUT,275082.0,C10602288,275082.0,0.0,C580353147,0.0,275082.0,0
CASH_OUT,188402.37,C1397898677,0.0,0.0,C1194649172,2222638.02,2411040.39,0
PAYMENT,5103.31,C649817469,0.0,0.0,M330836211,0.0,0.0,0
CASH_OUT,101548.32,C791735951,0.0,0.0,C947831111,821009.37,922557.69,0
PAYMENT,22065.49,C1208590709,632756.0,610690.51,M2104844823,0.0,0.0,0
CASH_OUT,58832.7,C1555034499,0.0,0.0,C629313841,405951.85,464784.55,0
CASH_OUT,1061482.24,C1732153199,1061482.24,0.0,C662070365,122332.23,1183814.46,1
CASH_OUT,140341.04,C1059817244,425068.5,284727.47,C1351544832,532781.01,673122.05,0
PAYMENT,525.54,C1817027816,0.0,0.0,M452945046,0.0,0.0,0
TRANSFER,703882.14,C1086283812,703882.14,0.0,C575658952,0.0,0.0,1
TRANSFER,1539899.65,C282159567,0.0,0.0,C826178834,2280797.47,3820697.12,0
TRANSFER,392767.71,C612108923,392767.71,0.0,C1962731404,0.0,0.0,1
CASH_OUT,3887853.15,C594531860,3887853.15,0.0,C1303439903,3977835.62,7865688.77,1
TRANSFER,166891.51,C2093347986,166891.51,0.0,C900883802,0.0,0.0,1
PAYMENT,9604.16,C1778624173,214392.0,204787.84,M746382293,0.0,0.0,0
PAYMENT,12222.69,C282690079,61487.0,49264.31,M936918144,0.0,0.0,0
CASH_OUT,92545.17,C144515719,92545.17,0.0,C1147986175,0.0,92545.17,0
CASH_OUT,101408.84,C961768451,101408.84,0.0,C898783752,0.0,101408.84,0
CASH_IN,254902.24,C934170089,2975785.73,3230687.98,C1569789182,339565.99,84663.74,0
TRANSFER,348915.96,C1721589363,348915.96,0.0,C2136928394,0.0,0.0,1
CASH_OUT,629090.64,C1610953245,14754.0,0.0,C1240386675,3783022.45,4412113.09,0
CASH_OUT,38223.11,C687551881,38223.11,0.0,C1460854172,115485.32,153708.43,1
TRANSFER,278014.31,C1683875866,137.0,0.0,C664668790,3287361.85,3565376.16,0
CASH_OUT,636009.24,C2114167369,0.0,0.0,C423999428,6033711.51,6669720.75,0
TRANSFER,1982736.56,C665933288,58501.96,0.0,C334986578,4853163.14,6835899.7,0
TRANSFER,760984.58,C1733734380,760984.58,0.0,C1612257977,0.0,0.0,1
CASH_OUT,618270.9,C1842567543,618270.9,0.0,C211836732,92291.02,710561.92,1
PAYMENT,14203.08,C1930015050,0.0,0.0,M2060395737,0.0,0.0,0
CASH_OUT,303725.09,C1212859734,0.0,0.0,C1003419761,1329141.39,1632866.48,0
CASH_OUT,437324.6,C1375758652,112728.0,0.0,C1999942851,203176.73,640501.33,0
TRANSFER,537025.01,C1744276151,537025.01,0.0,C38221870,0.0,0.0,1
CASH_OUT,337238.16,C1000853510,2005.0,0.0,C1078598343,6641109.5,6978347.67,0
PAYMENT,7226.18,C2009812830,51352.0,44125.82,M1791104098,0.0,0.0,0
CASH_OUT,6417789.09,C14516308,6417789.09,0.0,C1104416444,2280633.24,8698422.34,1
PAYMENT,19480.87,C885389746,0.0,0.0,M1028657981,0.0,0.0,0
CASH_OUT,32490.19,C143572213,0.0,0.0,C1887684685,2583470.86,2615961.05,0
CASH_IN,65510.31,C1790812587,5051550.37,5117060.68,C2106826460,309193.86,243683.55,0
CASH_OUT,296920.0,C491739698,1515341.36,1218421.36,C1471955754,1494821.48,1791741.48,0
TRANSFER,921894.19,C1325096505,921894.19,0.0,C427393645,0.0,0.0,1
CASH_OUT,88623.34,C1999917333,0.0,0.0,C1857673059,2208414.51,2297037.85,0
TRANSFER,4257337.62,C2086367958,4257337.62,0.0,C1701205427,0.0,0.0,1
CASH_OUT,703135.43,C1136940634,703135.43,0.0,C1710133326,14781.63,717917.06,1
CASH_OUT,176420.18,C1872936825,52331.0,0.0,C1650112435,1004940.76,1181360.95,0
CASH_OUT,461442.52,C1093216808,461442.52,0.0,C713783990,11029.55,472472.07,1
TRANSFER,2472250.47,C577087580,2472250.47,0.0,C660528098,0.0,0.0,1
TRANSFER,4152987.1,C1273725199,4152987.1,0.0,C357948041,0.0,0.0,1
CASH_OUT,75113.49,C209058213,75113.49,0.0,C1798476342,2401380.3,2476493.79,0
CASH_IN,402791.59,C891728685,1037156.39,1439947.97,C1354412239,1806623.87,1403832.28,0
TRANSFER,516355.22,C1361333152,516355.22,0.0,C46072537,0.0,0.0,1
CASH_IN,114142.01,C2078949343,41577.0,155719.01,C183837689,0.0,0.0,0
CASH_IN,228205.23,C423106915,5687908.16,5916113.39,C1913270662,3315407.33,3087202.1,0
CASH_OUT,27276.07,C913068789,27276.07,0.0,C1433881290,0.0,27276.07,0
PAYMENT,27404.55,C1744673775,145901.2,118496.65,M701963317,0.0,0.0,0
TRANSFER,206985.26,C1041263133,206985.26,0.0,C6898692,0.0,0.0,1
TRANSFER,66550.0,C1257904471,66550.0,0.0,C1927793477,0.0,0.0,1
PAYMENT,1243.43,C1886167183,19331.0,18087.57,M369125311,0.0,0.0,0
CASH_OUT,658637.38,C1494570595,658637.38,0.0,C975876326,0.0,658637.38,1
CASH_OUT,345460.12,C612167271,72484.0,0.0,C1053506909,0.0,345460.12,0
CASH_OUT,125936.26,C92710829,0.0,0.0,C318343721,127396.21,253332.47,0
CASH_OUT,102075.21,C534142160,0.0,0.0,C1797109318,738675.55,840750.76,0
PAYMENT,490.58,C1393588538,875.0,384.42,M2031161998,0.0,0.0,0
CASH_OUT,158156.45,C730118313,0.0,0.0,C1881312268,3565274.17,3723430.62,0
TRANSFER,1787291.23,C1196170132,159169.0,0.0,C2025448783,2321646.21,4108937.43,0
CASH_IN,111405.8,C1908470955,173139.0,284544.8,C49159605,645978.71,534572.91,0
CASH_IN,263012.64,C1856016049,16798.0,279810.64,C308927382,192327.31,0.0,0
TRANSFER,58050.78,C1136541649,58050.78,0.0,C667841585,0.0,0.0,1
CASH_OUT,3242183.64,C1457562899,3242183.64,0.0,C507441404,0.0,3242183.64,1
PAYMENT,740.08,C99595123,0.0,0.0,M760671494,0.0,0.0,0
TRANSFER,54583.71,C1580268172,54583.71,0.0,C1057362317,0.0,0.0,1
TRANSFER,438139.79,C653094177,438139.79,0.0,C1710300918,0.0,0.0,1
CASH_OUT,105097.16,C1066191297,105097.16,0.0,C1432077169,1965333.76,2070430.91,1
TRANSFER,92145.4,C1372492756,92145.4,0.0,C1868659811,0.0,0.0,1
CASH_IN,79264.25,C67671390,3082.0,82346.25,C800720969,2884808.43,2805544.18,0
CASH_OUT,10000000.0,C951363139,10000000.0,0.0,C241707602,0.0,10000000.0,1
CASH_IN,6637.51,C181056289,707279.0,713916.51,C30464481,546282.31,539644.8,0
CASH_OUT,333390.18,C727455113,333390.18,0.0,C1934242294,5592648.15,5926038.32,0
PAYMENT,12158.69,C1108815298,124226.0,112067.31,M1192242940,0.0,0.0,0
CASH_OUT,158557.57,C269247865,0.0,0.0,C1649015793,557474.1,716031.67,0
CASH_OUT,447604.15,C1590988601,0.0,0.0,C40866333,561156.78,1008760.92,0
CASH_OUT,451327.05,C1788370608,60143.0,0.0,C932672067,0.0,451327.05,0
CASH_OUT,98086.09,C939463498,98086.09,0.0,C2076838677,0.0,98086.09,0
CASH_OUT,6912.51,C481154612,0.0,0.0,C1209477270,226650.71,233563.22,0
CASH_OUT,10000000.0,C844374854,10000000.0,0.0,C141316671,13009399.24,23009399.24,1
CASH_OUT,379769.49,C1173726431,30794.0,0.0,C1979479306,0.0,379769.49,0
TRANSFER,139942.38,C504657146,2078.0,0.0,C590327082,1137744.22,1277686.6,0
CASH_OUT,10000000.0,C2029948339,10000000.0,0.0,C120055626,879169.43,10879169.43,1
PAYMENT,28706.21,C1430903859,41487.44,12781.22,M965764965,0.0,0.0,0
CASH_OUT,450489.27,C745977891,450489.27,0.0,C1398681592,122047.64,572536.91,1
TRANSFER,138048.52,C1877863116,138048.52,0.0,C1533281477,0.0,0.0,1
CASH_OUT,104101.98,C1820390124,460.0,0.0,C800373433,1151204.91,1255306.89,0
CASH_OUT,2911505.23,C1312139303,2911505.23,0.0,C1072804612,474059.17,3385564.4,1
CASH_OUT,264628.09,C1464702485,23322.0,0.0,C1761508939,1065202.14,1329830.23,0
TRANSFER,1011249.64,C1106915307,1011249.64,0.0,C2043222623,0.0,0.0,1
TRANSFER,829645.3,C80183609,829645.3,0.0,C618118021,0.0,0.0,1
TRANSFER,57588.67,C1367270224,57588.67,0.0,C1706801590,0.0,0.0,1
CASH_OUT,75577.6,C182783389,0.0,0.0,C330302590,1966413.02,2041990.62,0
PAYMENT,9723.33,C1721850923,70146.0,60422.67,M513291945,0.0,0.0,0
CASH_OUT,326394.8,C860160503,326394.8,0.0,C1834699516,16973.41,343368.22,1
TRANSFER,106596.14,C476725832,106596.14,0.0,C746130258,0.0,0.0,1
TRANSFER,34502.7,C2045698445,34502.7,0.0,C117267228,0.0,0.0,1
CASH_OUT,362774.48,C1460424890,531.0,0.0,C1761436672,0.0,362774.48,0
TRANSFER,87698.36,C1054999314,87698.36,0.0,C2115677481,0.0,0.0,1
CASH_IN,432026.04,C1897721566,41780.0,473806.04,C1765012942,41128.43,0.0,0
CASH_IN,313129.09,C574924649,274780.79,587909.88,C1692434834,8806246.14,8493117.05,0
CASH_OUT,36870.7,C1217723637,227890.96,191020.25,C570328345,315715.74,352586.44,0
CASH_OUT,69784.33,C372867595,0.0,0.0,C607143676,97669.53,167453.86,0
TRANSFER,56517.37,C52614586,56517.37,0.0,C1469827455,0.0,0.0,1
CASH_OUT,2189170.39,C156998155,2189170.39,0.0,C337441820,0.0,2189170.39,1
CASH_IN,120244.52,C659100651,9960.0,130204.52,C1196062014,172092.46,51847.94,0
CASH_OUT,255415.19,C1277686307,189463.34,0.0,C1924295534,1173655.36,1429070.56,0
PAYMENT,6021.31,C272132923,160899.0,154877.69,M1785564218,0.0,0.0,0
CASH_OUT,312151.06,C1815382629,312151.06,0.0,C1669165813,181590.34,493741.41,1
CASH_OUT,2752.87,C405418399,0.0,0.0,C1527529414,420623.19,423376.06,0
TRANSFER,1028486.59,C1674374999,1028486.59,0.0,C1352876312,0.0,0.0,1
CASH_OUT,168033.36,C1095293428,168033.36,0.0,C1796245916,1007215.9,1175249.26,1
CASH_OUT,46154.93,C2114141578,3624.0,0.0,C580441518,0.0,46154.93,0
CASH_IN,113082.69,C327652568,193.0,113275.69,C1345854862,3085533.13,2972450.44,0
PAYMENT,12394.55,C512555111,0.0,0.0,M2113293813,0.0,0.0,0
CASH_IN,647772.45,C1471289415,134659.0,782431.45,C846174185,454034.97,0.0,0
CASH_OUT,22112.8,C1554052829,30156.0,8043.2,C52074435,300389.76,322502.56,0
CASH_IN,115042.64,C819940224,1511359.93,1626402.57,C786429177,2027395.76,1912353.12,0
TRANSFER,196149.04,C631032087,196149.04,0.0,C722271938,0.0,0.0,1
CASH_IN,168025.93,C1168993898,49720.0,217745.93,C513365178,410927.22,242901.29,0
TRANSFER,143500.62,C1190315879,143500.62,0.0,C1109288229,0.0,0.0,1
CASH_OUT,626673.66,C974535194,626673.66,0.0,C617136418,1196558.84,1823232.5,1
CASH_OUT,125146.75,C1198861647,125146.75,0.0,C490114096,1820417.69,1945564.44,1
CASH_OUT,5166393.44,C1354111086,5166393.44,0.0,C1655452584,0.0,5166393.44,1
CASH_OUT,2059980.16,C617173071,2059980.16,0.0,C706638819,734579.21,2794559.36,1
PAYMENT,25691.34,C1171637076,0.0,0.0,M1701318805,0.0,0.0,0
CASH_OUT,2415826.18,C445430208,2415826.18,0.0,C267089577,389260.33,2805086.51,1
CASH_IN,433949.23,C558317832,332641.0,766590.23,C60956016,286728.07,0.0,0
CASH_IN,368405.41,C776596539,1822168.97,2190574.38,C323017827,2298955.38,1930549.97,0
TRANSFER,749979.65,C299231533,14752.0,0.0,C53256105,0.0,749979.65,0
TRANSFER,53107.96,C1398662623,53107.96,0.0,C840864986,0.0,0.0,1
TRANSFER,241680.32,C1178397405,0.0,0.0,C1829538037,388322.89,630003.22,0
CASH_OUT,802421.39,C369107118,802421.39,0.0,C463164064,11846261.68,12648683.06,1
TRANSFER,10000000.0,C524119157,19228514.1,9228514.1,C1979637041,0.0,0.0,1
CASH_OUT,3275.33,C1082254671,3275.33,0.0,C1060563153,14224439.72,14227715.04,0
TRANSFER,1566147.28,C862567148,31205.0,0.0,C1279827158,0.0,1566147.28,0
CASH_OUT,43235.71,C1465935638,43235.71,0.0,C1136959113,54838.13,98073.84,1
CASH_IN,494397.56,C795806592,169.0,494566.56,C1181759035,39791.6,0.0,0
TRANSFER,120385.1,C1649474651,120385.1,0.0,C31115617,0.0,0.0,1
CASH_OUT,756426.12,C1801267260,756426.12,0.0,C1693181403,1612984.89,2369411.01,1
CASH_OUT,370864.72,C317693712,0.0,0.0,C889828910,2408781.08,2779645.8,0
TRANSFER,200418.1,C1730154967,200418.1,0.0,C26656347,0.0,0.0,1
PAYMENT,18384.39,C324753064,1792.0,0.0,M342318501,0.0,0.0,0
TRANSFER,781183.07,C815279404,781183.07,0.0,C388526228,0.0,0.0,1
CASH_OUT,51589.87,C1614655562,51589.87,0.0,C644722343,0.0,51589.87,0
TRANSFER,776303.43,C137450034,776303.43,0.0,C97544246,0.0,0.0,1
